form	count	lemma	pos	nl
небесныя	2	небе́сный	adj	hemels
небурное	1	небу́рный	adj	stormvrij; windstil; ongestoord
неверия	1	неве́рие	n.n	ongeloof
неверных	2	неве́рный	adj/n	ongelovig; (mv.) ongelovigen
неверующим	1	неве́рующий	part/n	ongelovige; wie niet gelooft
невесто	1	Неве́ста	n.f	Bruid
невещественный	1	невеще́ственный	adj	onstoffelijk; immaterieel
невместимаго	2	Невмести́мый	adj/n	de Onomvatbare; de Onbevatbare; de Onbegrensde
невозвратно	1	невозвра́тно	adv	onherroepelijk; onwankelbaar; zonder terug te keren
недоумеет	1	недоуме́ти	v	niet bij machte zijn; geen raad weten; verlegen staan
недуг	2	неду́г	n.m	kwaal; ziekte; gebrek
недугов	1	неду́г	n.m	kwaal; ziekte; gebrek
незыблему	1	незы́блемый	adj	onwankelbaar; onwrikbaar; onaantastbaar
неизреченныя	1	неизрече́нный	adj	onuitsprekelijk; onzegbaar
неистощимую	1	неистощи́мый	adj	onuitputtelijk; nooit opdrogend
неистощимый	1	неистощи́мый	adj	onuitputtelijk; nooit opdrogend
ней	1	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
немощным	1	немощны́й	adj/n	zwak; krachteloos; (mv.) de zwakken
ненадежных	1	ненаде́жный	adj/n	hopeloos; (mv.) zij die geen hoop hebben
неневестная	1	Неневе́стный	adj	ongehuwd; onbruide; die geen bruidegom kende
неоскудныя	1	неоску́дный	adj	nooit ontbrekend; onuitputtelijk; nimmer verminderend
непобедимое	1	непобеди́мый	adj	onoverwinnelijk
непобедиму	1	непобеди́мый	adj	onoverwinnelijk
непорочнаго	1	непоро́чный	adj	onbevlekt; smetteloos; onberispelijk
непостыдное	1	непосты́дный	adj	dat niet beschaamt; niet beschamend; onbeschaamd
непрестанными	1	непреста́нный	adj	onophoudelijk; aanhoudend
несокрушимый	1	несокруши́мый	adj	onverbrekelijk; onvernietigbaar; onverwoestbaar
несомненное	1	несомне́нный	adj	ontwijfelbaar; zeker; onbetwijfelbaar
несумненная	1	несумне́нный	adj	ontwijfelbaar; onwankelbaar; zeker
несумненною	1	несумне́нный	adj	ontwijfelbaar; onwankelbaar; zeker
неуязвимая	1	неуязви́мый	adj	onkwetsbaar
нечестия	1	нече́стие	n.n	goddeloosheid; oneerbiedigheid; boosheid
нею	1	он, она, они	pron	hij; zij; (Еюже) door wie; (Еяже ради) om wier wil; (егоже) hetwelk, waarvoor
низложение	2	низложе́ние	n.n	neerwerping; omverwerping; nederlaag
нищих	1	ни́щий	adj/n	arm; behoeftig; (mv.) de armen
но	1	но	conj	maar
новаго	1	но́вый	adj	nieuw
новопросвещенней	1	новопросвеще́нный	adj	pasverlicht; nieuw-verlicht (d.w.z. pas gekerstend)
новопросвещеннем	1	новопросвеще́нный	adj	pasverlicht; nieuw-verlicht (d.w.z. pas gekerstend)
новопросвещенных	1	новопросвеще́нный	adj	pasverlicht; nieuw-verlicht (d.w.z. pas gekerstend)
новы	1	но́вый	adj	nieuw
носила	1	носи́ти	v	dragen
носящаго	1	носи́ти	v	dragen
нуждах	3	нужда́	n.f	nood; behoefte; benauwdheid
нужды	1	нужда́	n.f	nood; behoefte; benauwdheid
ныне	4	ны́не	adv	nu; thans
о	14	о	interj	o
о	14	о, об	prep	over; aangaande; om; voor
об	1	о, об	prep	over; aangaande; om; voor
обаче	1	оба́че	conj/adv	evenwel; nochtans; echter
обеты	1	обе́т	n.m	gelofte
обидимых	1	оби́димый	part/n	verongelijkt; verdrukt; (mv.) de verongelijkten
обители	1	оби́тель	n.f	klooster; woonstede; verblijf
обличающая	1	облича́ти	v	ontmaskeren; aan het licht brengen; bestraffen; weerleggen
обличение	2	обличе́ние	n.n	ontmaskering; weerlegging; bestraffing; terechtwijzing
образ	1	о́браз	n.m	beeld; icoon; afbeelding
образом	2	о́браз	n.m	beeld; icoon; afbeelding
образу	1	о́браз	n.m	beeld; icoon; afbeelding
обретшая	1	обрести́	v	vinden; verkrijgen
обретши	1	обрести́	v	vinden; verkrijgen
обстояниих	1	обстоя́ние	n.n	benauwdheid; benarde omstandigheid; belegering; nood
обстояний	1	обстоя́ние	n.n	benauwdheid; benarde omstandigheid; belegering; nood
обтекающая	1	обтека́ти	v	omlopen; rondstromen door; omcirkelen
огнь	1	огнь	n.m	vuur
огня	1	огнь	n.m	vuur
ограждаеши	1	огражда́ти	v	omheinen; beschutten; beschermen
ограждение	5	огражде́ние	n.n	omheining; beschutting; bolwerk; schutsmuur
одеяние	1	одея́ние	n.n	kleed; kleding; bekleding
одигитрия	1	Одиги́трия	n.prop	Hodegetria; Wegwijzeres; Zij die de weg wijst
одоление	1	одоле́ние	n.n	overwinning; het overwinnen
одушевленный	1	одушевле́нный	adj	bezield; levend
оживляющая	1	оживля́ти	v	levend maken; verlevendigen; doen herleven
озаряет	1	озаря́ти	v	verlichten; bestralen; doen oplichten
озаряющая	1	озаря́ти	v	verlichten; bestralen; doen oplichten
озаряющи	1	озаря́ти	v	verlichten; bestralen; doen oplichten
омраченных	2	омраче́нный	adj/part	verduisterd; in duisternis gehuld; verblind
омывающая	1	омыва́ти	v	afwassen; reinigen
оружие	1	ору́жие	n.n	wapen
освящение	2	освяще́ние	n.n	heiliging; wijding
освященная	1	освяти́ти	v	heiligen
осенением	1	осене́ние	n.n	overschaduwing; beschutting; schaduw
осененная	2	осени́ти	v	overschaduwen
осиявающая	1	осиява́ти	v	beschijnen; bestralen
основание	1	основа́ние	n.n	fundament; grondslag
оставила	1	оста́вити	v	achterlaten; nalaten
оставление	1	оставле́ние	n.n	vergeving; kwijtschelding
оставляеши	1	оставля́ти	v	verlaten; in de steek laten
от	27	от	prep	van; vanaf; door
отврати	1	отврати́ти	v	afwenden; afkeren
отгнавши	1	отгна́ти, отгоня́ти	v	verdrijven; wegjagen
отгоняющая	1	отгна́ти, отгоня́ти	v	verdrijven; wegjagen
отечестве	1	оте́чество	n.n	vaderland
откровенную	1	откры́ти	v	openbaren; onthullen
открывающая	1	открыва́ти	v	openbaren; ontsluiten
отрадо	1	отра́да	n.f	vertroosting; verkwikking; verlichting
отроковица	1	Отрокови́ца	n.f	Jonkvrouw; Meisje; jonge Maagd
отроковице	4	Отрокови́ца	n.f	Jonkvrouw; Meisje; jonge Maagd
отроковицу	1	Отрокови́ца	n.f	Jonkvrouw; Meisje; jonge Maagd
отца	1	Оте́ц	n.m	Vader
отчаянных	1	отча́янный	adj/n	wanhopig; (mv.) de wanhopigen
очима	1	о́ко	n.n	oog
очищение	1	очище́ние	n.n	reiniging; zuivering; verzoening
падений	1	паде́ние	n.n	val; het vallen
палато	1	пала́та	n.f	paleis; hof; vorstelijke zaal
памятующе	1	па́мятовати	v	gedenken; indachtig zijn
паучину	1	паучи́на	n.f	spinnenweb; spinrag
певаемая	2	пе́ти	v	zingen; bezingen
пение	2	пе́ние	n.n	gezang; lied; lofzang
пения	2	пе́ние	n.n	gezang; lied; lofzang
первонаписанней	1	первонапи́санный	adj	eerstgeschilderd; als eerste geschreven (geschilderd)
первообразное	1	первообра́зный	adj/n	oerbeeld; prototype; oorspronkelijke
пети	1	пе́ти	v	zingen; bezingen
петр	1	Петр	n.prop	Peter (de Grote)
печалей	1	печа́ль	n.f	droefheid; verdriet; smart
печалех	1	печа́ль	n.f	droefheid; verdriet; smart
печали	1	печа́ль	n.f	droefheid; verdriet; smart
печальных	1	печа́льный	adj/n	bedroefd; treurig; (mv.) de bedroefden
питательнице	1	Пита́тельница	n.f	Voedster; Zij die voedt
плачущим	1	пла́кати	v	wenen; treuren
плод	1	плод	n.m	vrucht
плодоносие	1	плодоно́сие	n.n	vruchtbaarheid; het vruchtdragen
плотию	1	плоть	n.f	vlees
по	5	по	prep	volgens; naar; langs; na
победив	1	победи́ти	v	overwinnen; verslaan
победная	1	побе́дный	adj/n	zegevierend; overwinnings-; (zn. mv.) zegezangen, dankoffers voor de overwinning
победное	2	побе́дный	adj/n	zegevierend; overwinnings-; (zn. mv.) zegezangen, dankoffers voor de overwinning
поведающи	1	пове́дати	v	verhalen; vertellen; verkondigen
погибели	1	поги́бель	n.f	verderf; ondergang; verloren gaan
под	2	под	prep	onder
подавающи	2	подава́ти	v	geven; schenken; verlenen
подает	1	подава́ти	v	geven; schenken; verlenen
подается	1	подава́ти	v	geven; schenken; verlenen
подающая	2	подава́ти	v	geven; schenken; verlenen
подобает	1	подоба́ти	v	betamen; toekomen; passen
подобиих	1	подо́бие	n.n	gelijkenis; afbeelding; kopie (van een icoon)
покланяющияся	1	покланя́тися	v	vereren; zich neerbuigen voor; aanbidden
поклоняемся	1	покланя́тися	v	vereren; zich neerbuigen voor; aanbidden
покров	2	покро́в	n.m	bescherming; beschutting; schutsmantel; sluier; dekmantel
покрове	3	покро́в	n.m	bescherming; beschutting; schutsmantel; sluier; dekmantel
покровом	3	покро́в	n.m	bescherming; beschutting; schutsmantel; sluier; dekmantel
покрываеши	1	покрыва́ти	v	bedekken; beschutten; beschermen
покрывающей	2	покрыва́ти	v	bedekken; beschutten; beschermen
полезная	3	поле́зный	adj/n	nuttig; heilzaam; (zn. mv.) het nuttige, wat goed is
положи	1	положи́ти	v	leggen; plaatsen
полчище	1	по́лчище	n.n	horde; heir; legioen; drom
помилуй	1	поми́ловати	v	zich ontfermen
помоще	1	по́мощь	n.f	hulp; bijstand
помощи	4	по́мощь	n.f	hulp; bijstand
помощию	1	по́мощь	n.f	hulp; bijstand
помощница	1	Помо́щница	n.f	Helpster; Bijstand
помощнице	7	Помо́щница	n.f	Helpster; Bijstand
помощницу	2	Помо́щница	n.f	Helpster; Bijstand
помощь	1	по́мощь	n.f	hulp; bijstand
помышлений	1	помышле́ние	n.n	gedachte; overleg; overweging
помяни	1	помяну́ти	v	gedenken; herinneren
поругаема	1	поруга́ти	v	bespotten; honen; smaden
посещающая	1	посеща́ти	v	bezoeken (met genade); omzien naar
посещение	1	посеще́ние	n.n	bezoeking; bezoek
посещения	1	посеще́ние	n.n	bezoeking; bezoek
послан	2	посла́ти	v	zenden
посрамляющая	1	посрамля́ти	v	beschamen; te schande maken
постави	1	поста́вити	v	plaatsen; stellen; oprichten
похвало	5	похвала́	n.f	lof; roem; lofprijzing
почитания	1	почита́ние	n.n	verering; eerbetoon
почитающим	1	почита́ти	v	eren; vereren
поюще	1	пе́ти	v	zingen; bezingen
праведных	2	пра́ведный	adj/n	rechtvaardig; (mv.) de rechtvaardigen
православия	2	Правосла́вие	n.n	Orthodoxie
православнии	1	правосла́вный	adj	orthodox
православному	3	правосла́вный	adj	orthodox
православную	2	правосла́вный	adj	orthodox
православных	1	правосла́вный	adj	orthodox
православныя	1	правосла́вный	adj	orthodox
преблагословенней	1	Преблагослове́нный	adj	Hooggezegende; Allergezegendste; Meest gezegende
преблагословенныя	1	Преблагослове́нный	adj	Hooggezegende; Allergezegendste; Meest gezegende
пребываеши	1	пребыва́ти	v	verblijven; wonen; blijven
превышшая	1	превы́шший	adj.comp	verheven boven; hoger dan; overtreffend
прегрешений	1	прегреше́ние	n.n	overtreding; misstap; vergrijp
пред	6	пред	prep	voor; ten overstaan van
предваряющая	1	предваря́ти	v	voorkomen (vóór zijn); tegemoetsnellen; vooruitlopen op
предвечным	1	Предве́чный	adj	Vooreeuwige; Eeuwige van vóór alle tijden
предградие	1	предгра́дие	n.n	voorwerk; voorwal; bolwerk vóór de stad; buitenwerk
предстатель	2	предста́тель	n.m	voorspreker; aanvoerder; die vóór (God) staat; (van de engel) aartsengel die voor Gods aangezicht staat
предстательница	1	Предста́тельница	n.f	Voorspreekster; Middelares; Pleitbezorgster
предстательством	2	предста́тельство	n.n	voorspraak; bemiddeling; voorbede
предстояще	2	предстоя́ти	v	staan voor; aanwezig zijn voor
преложен	1	преложи́ти	v	veranderen; omzetten; doen verkeren
премилосердая	1	Премилосе́рдый	adj	Albarmhartige; overvloedig barmhartige; Allerbarmhartigste
преподобным	1	преподо́бный	adj/n	eerbiedwaardig; heilige monnik; (mv.) de heilige monniken, ascetenheiligen
преподобных	2	преподо́бный	adj/n	eerbiedwaardig; heilige monnik; (mv.) de heilige monniken, ascetenheiligen
пресвятая	4	Пресвяты́й	adj	Alheilige; Allerheiligste
претворяющая	1	претворя́ти	v	veranderen (in); omzetten; doen verkeren
преукрашенная	1	преукраше́нный	adj	rijk versierd; prachtig getooid
пречестное	1	пречестны́й	adj	hoogvereerd; hooggeëerd; alom vereerd; allerkostbaarst
пречестныя	1	пречестны́й	adj	hoogvereerd; hooggeëerd; alom vereerd; allerkostbaarst
пречистая	1	Пречи́стый	adj	Alreine; Allerreinste; Alzuivere
пречистей	1	Пречи́стый	adj	Alreine; Allerreinste; Alzuivere
пречистому	1	Пречи́стый	adj	Alreine; Allerreinste; Alzuivere
пречистою	1	Пречи́стый	adj	Alreine; Allerreinste; Alzuivere
пречистый	1	Пречи́стый	adj	Alreine; Allerreinste; Alzuivere
пречистым	2	Пречи́стый	adj	Alreine; Allerreinste; Alzuivere
пречудныя	1	пречу́дный	adj	allerwonderbaarst; hoogst wonderbaar
прещение	1	преще́ние	n.n	dreiging; bedreiging; berisping
при	1	при	prep	bij; aan
прибегаем	1	прибега́ти	v	de toevlucht nemen tot; toevlucht zoeken bij; zich wenden tot
прибегают	1	прибега́ти	v	de toevlucht nemen tot; toevlucht zoeken bij; zich wenden tot
прибегающим	1	прибега́ти	v	de toevlucht nemen tot; toevlucht zoeken bij; zich wenden tot
прибегающих	1	прибега́ти	v	de toevlucht nemen tot; toevlucht zoeken bij; zich wenden tot
прибежище	3	прибе́жище	n.n	toevlucht; schuilplaats; wijkplaats
приемлет	1	приима́ти	v	ontvangen; aannemen; nemen
приемлют	1	приима́ти	v	ontvangen; aannemen; nemen
приемлющая	1	приима́ти	v	ontvangen; aannemen; nemen
призрение	1	призре́ние	n.n	zorg; verzorging; genadig omzien (naar); toezicht
призри	1	призре́ти	v	(genadig) neerzien op; omzien naar; aanzien
приими	2	прия́ти	v	ontvangen; aannemen; opnemen
приимше	1	прия́ти	v	ontvangen; aannemen; opnemen
примирение	1	примире́ние	n.n	verzoening
принесе	1	принести́	v	brengen; aanbrengen; offeren
принести	1	принести́	v	brengen; aanbrengen; offeren
приносим	3	приноси́ти	v	brengen; opdragen; aanbieden
приносят	2	приноси́ти	v	brengen; opdragen; aanbieden
приносяще	1	приноси́ти	v	brengen; opdragen; aanbieden
припадающе	2	припада́ти	v	neervallen voor; zich ter aarde werpen; knielen voor
припадающия	1	припада́ти	v	neervallen voor; zich ter aarde werpen; knielen voor
присно	2	при́сно	adv	altijd; immer; eeuwig
пристанище	4	приста́нище	n.n	haven; toevluchtsoord; veilige haven
приступи	1	приступи́ти	v	zich zetten aan; naderen tot; beginnen
присущую	1	прису́щий	adj	inwonend; eigen (aan); aanwezig in; inherent
притекающии	1	притека́ти	v	toestromen naar; zich haasten naar; de toevlucht nemen tot
притекающим	1	притека́ти	v	toestromen naar; zich haasten naar; de toevlucht nemen tot
притекающих	3	притека́ти	v	toestromen naar; zich haasten naar; de toevlucht nemen tot
приходящим	1	приходи́ти	v	komen
причастны	1	прича́стный	adj	deelachtig; deelhebbend aan
провождающии	1	провожда́ти	v	leiden (een leven); doorbrengen
прогоняющая	1	прогоня́ти	v	verdrijven; verjagen
прозирают	1	прозира́ти	v	het gezicht krijgen; weer zien; ziende worden
прозрение	1	прозре́ние	n.n	het ziende worden; herkrijgen van het gezicht; ogenopening
прозябшая	1	прозя́бнути	v	doen ontspruiten; voortbrengen; doen opschieten
промышление	1	промышле́ние	n.n	voorzienigheid; voorzorg; zorgzame bemoeienis
проповедуют	1	пропове́дати	v	verkondigen; prediken
пророческое	2	проро́ческий	adj	profetisch; van de profeten
просвещающая	1	просвеща́ти	v	verlichten
просвещение	2	просвеще́ние	n.n	verlichting
прославим	1	просла́вити, прославля́ти	v	verheerlijken
прославляющая	1	просла́вити, прославля́ти	v	verheerlijken
прославляюще	4	просла́вити, прославля́ти	v	verheerlijken
прославляющи	1	просла́вити, прославля́ти	v	verheerlijken
прославляющих	1	просла́вити, прославля́ти	v	verheerlijken
простреши	1	простре́ти	v	uitstrekken; uitbreiden
просяще	1	проси́ти	v	vragen; bidden om; smeken
просящия	1	проси́ти	v	vragen; bidden om; smeken
прошение	1	проше́ние	n.n	bede; verzoek; smeekbede
прошения	1	проше́ние	n.n	bede; verzoek; smeekbede
путеводительницу	1	Путеводи́тельница	n.f	Wegwijzeres; Leidsvrouw; Gids
пути	1	путь	n.m	weg; pad; reis
путь	2	путь	n.m	weg; pad; reis
рабо	1	раб, раба́	n	dienaar; dienstknecht; dienstmaagd; dienares
рабов	1	раб, раба́	n	dienaar; dienstknecht; dienstmaagd; dienares
рабом	1	раб, раба́	n	dienaar; dienstknecht; dienstmaagd; dienares
рабы	1	раб, раба́	n	dienaar; dienstknecht; dienstmaagd; dienares
ради	7	ра́ди	postp	omwille van; ter wille van; wegens
радование	1	ра́дование	n.n	verblijding; vreugde; blijdschap
радосте	2	ра́дость	n.f	vreugde; blijdschap
радости	1	ра́дость	n.f	vreugde; blijdschap
радостно	2	ра́достно	adv	met vreugde; blij; vreugdevol
радость	1	ра́дость	n.f	vreugde; blijdschap
радуйся	173	ра́доватися	v	zich verheugen; Verheug u!
разве	2	ра́зве	prep/conj	behalve; buiten; anders dan
разрушающая	1	разруша́ти	v	vernietigen; teniet doen; verwoesten
разрушение	1	разруше́ние	n.n	vernietiging; verwoesting; omverwerping
разслабленнии	1	разсла́бленный	adj/n	verlamde; lamme
разум	1	ра́зум	n.m	verstand; inzicht; rede; kennis
разумение	1	разуме́ние	n.n	inzicht; begrip; verstaan; betekenis
раны	1	ра́на	n.f	wond
раскола	1	раско́л	n.m	scheuring; schisma; verdeeldheid
растерзающая	1	растерза́ти	v	verscheuren; aan flarden scheuren
расторгающая	1	расторга́ти	v	verbreken; uiteenscheuren; verscheuren
ревнующих	1	ревнова́ти	v	ijveren (voor); vurig streven (naar)
реко	1	река́	n.f	rivier; stroom
реку	1	река́	n.f	rivier; stroom
реченному	1	рещи́	v	zeggen; spreken; (реченный) gezegd, gesproken
рещи	2	рещи́	v	zeggen; spreken; (реченный) gezegd, gesproken
род	1	род	n.m	geslacht; generatie; stam; soort
рода	17	род	n.m	geslacht; generatie; stam; soort
роди	1	род	n.m	geslacht; generatie; stam; soort
родившая	1	роди́ти	v	baren; ter wereld brengen
родительнице	1	Роди́тельница	n.f	Moeder; Baarster; Zij die gebaard heeft
родов	2	род	n.m	geslacht; generatie; stam; soort
рождшагося	1	роди́тися	v	geboren worden
рождшая	1	роди́ти	v	baren; ter wereld brengen
росо	1	роса́	n.f	dauw
россии	1	Росси́я	n.prop	Rusland
российских	1	росси́йский	adj	Russisch; van Rusland
российския	1	росси́йский	adj	Russisch; van Rusland
российскую	1	росси́йский	adj	Russisch; van Rusland
российстей	1	росси́йский	adj	Russisch; van Rusland
рук	1	рука́	n.f	hand; arm
руках	1	рука́	n.f	hand; arm
руки	1	рука́	n.f	hand; arm
руку	1	рука́	n.f	hand; arm
русских	1	ру́сский	adj	Russisch
русской	1	ру́сский	adj	Russisch
рыбы	1	ры́ба	n.f	vis
рыдает	1	рыда́ти	v	jammeren; weeklagen; huilen
с	15	с, со	prep	met; van
саде	1	сад	n.m	tuin; hof; gaarde
самей	1	сам	pron	zelf; (Самей) Uzelf
сбытие	2	сбытие́	n.n	vervulling; het in vervulling gaan
свеев	1	свеи	n.pl	Zweden
светильники	1	свети́льник	n.m	lamp; luchter; lichtdrager
светиши	1	свети́ти	v	schijnen; lichten
светлое	4	све́тлый	adj	stralend; lichtend; luisterrijk; helder
светом	2	свет	n.m	licht
светоприемную	1	светоприе́мный	adj	lichtontvangend; dat het licht ontvangt
свещу	1	свеща́	n.f	kaars
своего	2	свой	pron	eigen; zijn; haar; hun
своему	1	свой	pron	eigen; zijn; haar; hun
своея	2	свой	pron	eigen; zijn; haar; hun
своих	1	свой	pron	eigen; zijn; haar; hun
свою	2	свой	pron	eigen; zijn; haar; hun
свыше	1	свы́ше	adv	van boven; uit den hoge
святаго	1	святы́й	adj/n	heilig; (zn.) heilige
святая	1	святы́й	adj/n	heilig; (zn.) heilige
святейшее	1	святе́йший	adj.sup	allerheiligst; heiliger (dan)
святителю	1	святи́тель	n.m	heilige bisschop; hiërarch
святую	1	святы́й	adj/n	heilig; (zn.) heilige
святым	1	святы́й	adj/n	heilig; (zn.) heilige
святыми	1	святы́й	adj/n	heilig; (zn.) heilige
святыни	1	святы́ня	n.f	heiligheid; het heilige; heiligdom
святых	3	святы́й	adj/n	heilig; (zn.) heilige
святыя	2	святы́й	adj/n	heilig; (zn.) heilige
священным	1	свяще́нный	adj	gewijd; heilig; sacraal
сего	3	сей	pron	deze; dit
сей	2	сей	pron	deze; dit
серафим	3	Серафи́м	n.pl	Serafijnen
сергием	1	Се́ргий	n.prop	Sergius (van Radonezj)
сердца	2	се́рдце	n.n	hart
сердце	1	се́рдце	n.n	hart
сердцем	2	се́рдце	n.n	hart
сею	2	сей	pron	deze; dit
сие	1	сей	pron	deze; dit
сила	2	си́ла	n.f	kracht; macht; sterkte
силе	1	си́ла	n.f	kracht; macht; sterkte
силою	2	си́ла	n.f	kracht; macht; sterkte
силу	1	си́ла	n.f	kracht; macht; sterkte
силы	1	си́ла	n.f	kracht; macht; sterkte
сильну	1	си́льный	adj	sterk; machtig
сирот	1	сирота́	n.f/m	wees
сирым	1	си́рый	adj/n	verweesd; (mv.) wezen, de vaderlozen
сице	1	си́це	adv	aldus; zo; op deze wijze
скорая	2	ско́рый	adj	snel; spoedig; vlug
скорбей	5	скорбь	n.f	verdrukking; droefheid; smart; nood; kwelling
скорбех	3	скорбь	n.f	verdrukking; droefheid; smart; nood; kwelling
скорби	1	скорбь	n.f	verdrukking; droefheid; smart; nood; kwelling
скорбных	1	ско́рбный	adj	droevig; smartelijk; benard
скорбь	2	скорбь	n.f	verdrukking; droefheid; smart; nood; kwelling
скорбящим	1	скорбе́ти	v	treuren; bedroefd zijn; in verdrukking zijn
скорбящих	2	скорбе́ти	v	treuren; bedroefd zijn; in verdrukking zijn
скорое	1	ско́рый	adj	snel; spoedig; vlug
скрытое	1	скры́ти	v	verbergen; verborgen houden
слава	3	сла́ва	n.f	heerlijkheid; glorie; roem
славе	1	сла́ва	n.f	heerlijkheid; glorie; roem
славнейшую	1	сла́внейший	adj.sup	heerlijker; roemrijker; allerroemrijkst
славо	1	сла́ва	n.f	heerlijkheid; glorie; roem
славою	1	сла́ва	n.f	heerlijkheid; glorie; roem
славы	1	сла́ва	n.f	heerlijkheid; glorie; roem
слезами	2	слеза́	n.f	traan
слезно	1	сле́зно	adv	onder tranen; met tranen; in tranen
слепии	1	слепы́й	adj/n	blind; (mv.) de blinden
слепым	1	слепы́й	adj/n	blind; (mv.) de blinden
слепых	1	слепы́й	adj/n	blind; (mv.) de blinden
слово	3	Сло́во	n.n	Woord (Logos); woord
слову	1	Сло́во	n.n	Woord (Logos); woord
слушати	1	слу́шати	v	luisteren; horen
слышавше	1	слы́шати	v	horen; vernemen
слышание	1	слы́шание	n.n	het horen; gehoor; bericht
смерти	3	смерть	n.f	dood
смертоносныя	1	смертоно́сный	adj	dodelijk; doodbrengend; verderfelijk
смирение	1	смире́ние	n.n	nederigheid; ootmoed
смыслом	1	смысл	n.m	verstand; zin; geest; inzicht
смятений	1	смяте́ние	n.n	verwarring; beroering; tumult; oproer
со	6	с, со	prep	met; van
соблюдет	1	соблюсти́	v	bewaren; behoeden; in stand houden
совершающая	1	соверша́ти	v	volbrengen; verrichten; opdragen
совершенный	1	соверше́нный	adj	volmaakt; volkomen
совесть	1	со́весть	n.f	geweten
содевает	2	содева́ти(ся)	v	bewerken; verrichten; (refl.) gewrocht worden
содеваются	1	содева́ти(ся)	v	bewerken; verrichten; (refl.) gewrocht worden
созданному	1	созда́ти	v	bouwen; scheppen; oprichten
сокровище	1	сокро́вище	n.n	schat
сокрушения	1	сокруше́ние	n.n	verbrijzeling (van het hart); berouw; vermorzeling
сокрушенным	2	сокруше́нный	adj	verbrijzeld; verbroken; vermorzeld
сословии	1	сосло́вие	n.n	stand; orde; vergadering; gezelschap
сотворяющи	1	сотворя́ти	v	maken; doen worden; tot … maken
сохранит	1	сохрани́ти	v	bewaren; behoeden; beschermen
спаса	2	Спас	n.m	Verlosser; Heiland; Redder
спасаются	1	спаса́ти(ся)	v	redden; verlossen; (refl.) gered worden
спасающая	1	спаса́ти(ся)	v	redden; verlossen; (refl.) gered worden
спасение	3	спасе́ние	n.n	heil; verlossing; redding
спасения	4	спасе́ние	n.n	heil; verlossing; redding
спасительное	1	спаси́тельный	adj	heilzaam; heilbrengend; van het heil
спасительный	1	спаси́тельный	adj	heilzaam; heilbrengend; van het heil
спасителя	1	Спаси́тель	n.m	Verlosser; Heiland; Zaligmaker
спасти	1	спасти́(ся)	v	redden; verlossen; (refl.) gered worden
спастися	1	спасти́(ся)	v	redden; verlossen; (refl.) gered worden
спасшия	1	спасти́(ся)	v	redden; verlossen; (refl.) gered worden
списатель	1	списа́тель	n.m	schrijver; optekenaar; beschrijver
сподобимся	1	сподо́битися	v	waardig gekeurd worden; waardig bevonden worden; verwaardigd worden
способствующая	1	спосо́бствовати	v	bevorderen; meewerken aan; steunen
спребывающи	1	спребыва́ти	v	verblijven bij; samen zijn met; blijven bij
сравнения	1	сравне́ние	n.n	vergelijking
старцев	1	ста́рец	n.m	oude; grijsaard; oudere; (geestelijke) vader, starets
стена	1	стена́	n.f	muur; wal
стольному	1	сто́льный	adj	hoofd-; residentie-; troon-
стране	3	страна́	n.f	land
странно	1	стра́нно	adv	vreemd; wonderlijk; bevreemdend
страну	5	страна́	n.f	land
страны	1	страна́	n.f	land
страстнаго	1	стра́стный	adj	van de hartstochten; hartstochtelijk; door hartstochten beheerst
страхом	1	страх	n.m	vrees; ontzag
сугубо	1	сугу́бо	adv	dubbel; tweevoudig; overvloedig; in bijzondere mate
суд	1	суд	n.m	oordeel; gericht; vonnis
сумнительно	1	сумни́тельно	adv	twijfelachtig; te betwijfelen
сумнительное	1	сумни́тельный	adj	twijfelachtig; dubieus
супостат	1	супоста́т	n.m	tegenstander; vijand; wederpartij
суть	1	бы́ти	v	zijn; (бысть) was, geschiedde; (еси) gij zijt; (суть) zij zijn; (сущий) zijnde, die is
сущей	1	бы́ти	v	zijn; (бысть) was, geschiedde; (еси) gij zijt; (суть) zij zijn; (сущий) zijnde, die is
сущи	1	бы́ти	v	zijn; (бысть) was, geschiedde; (еси) gij zijt; (суть) zij zijn; (сущий) zijnde, die is
сущих	1	бы́ти	v	zijn; (бысть) was, geschiedde; (еси) gij zijt; (суть) zij zijn; (сущий) zijnde, die is
сына	5	Сын	n.m	Zoon
сыном	2	Сын	n.m	Zoon
сыну	1	Сын	n.m	Zoon
та	2	той, та	pron	die; zij; (тем) daardoor / aan die
тайну	1	та́йна	n.f	geheim; mysterie; geheimenis
тайны	1	та́йна	n.f	geheim; mysterie; geheimenis
таковыя	1	таковы́й	pron/adj	zodanig; zulk
тамо	1	та́мо	adv	daar; aldaar
твари	1	тварь	n.f	schepping; schepsel
твоего	5	твой	pron	Uw; uw
твоей	3	твой	pron	Uw; uw
твоему	3	твой	pron	Uw; uw
твоею	3	твой	pron	Uw; uw
твоея	11	твой	pron	Uw; uw
твоим	7	твой	pron	Uw; uw
твоими	2	твой	pron	Uw; uw
твоих	5	твой	pron	Uw; uw
твой	2	твой	pron	Uw; uw
твориши	1	твори́ти	v	doen; maken; bewerken
твою	3	твой	pron	Uw; uw
твоя	12	твой	pron	Uw; uw
тебе	22	ты	pron	Gij; U; u
телесныма	1	теле́сный	adj	lichamelijk
